congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
116,House,20301,41,3,AL,200,,,"ROGERS, Mike Dennis",R000575,1958,,0.354,0.458,-151.41279,0.76919,577,63,,0.528,0.353
116,House,21102,41,7,AL,100,,,"SEWELL, Terri",S001185,1965,,-0.39,0.401,-22.82722,0.96261,599,9,,-0.409,0.356
116,House,21192,41,2,AL,200,,,"ROBY, Martha",R000591,1976,,0.361,0.654,-86.08553,0.86251,582,30,,0.341,0.658
116,House,21193,41,5,AL,200,,,"BROOKS, Mo",B001274,1954,,0.645,-0.442,-115.50384,0.82436,598,48,,0.778,-0.354
116,House,21376,41,1,AL,200,,,"BYRNE, Bradley",B001289,1955,,0.609,0.243,-97.83594,0.84624,586,37,,0.707,0.144
116,House,21500,41,6,AL,200,,,"PALMER, Gary James",P000609,1954,,0.711,-0.061,-89.86752,0.86133,602,38,,0.663,0.039
116,House,29701,41,4,AL,200,,,"ADERHOLT, Robert",A000055,1965,,0.367,0.595,-97.57898,0.84515,580,35,,0.427,0.713
116,House,14066,81,1,AK,200,,,"YOUNG, Donald Edwin",Y000033,1933,,0.284,0.023,-171.45832,0.74407,580,60,,0.358,0.147
116,House,20305,61,3,AZ,100,,,"GRIJALVA, Raúl M.",G000551,1948,,-0.599,-0.255,-20.22563,0.96555,577,8,,-0.606,-0.645
116,House,20902,61,2,AZ,100,,,"KIRKPATRICK, Ann",K000368,1950,,-0.162,-0.006,-38.5753,0.93489,573,17,,-0.372,0.476
116,House,21103,61,4,AZ,200,,,"GOSAR, Paul",G000565,1958,,0.674,-0.414,-106.12314,0.8312,574,43,,0.919,-0.395
116,House,21105,61,6,AZ,200,,,"SCHWEIKERT, David",S001183,1962,,0.593,-0.33,-172.55167,0.75043,601,83,,0.519,-0.317
116,House,21502,61,7,AZ,100,,,"GALLEGO, Ruben",G000574,1979,,-0.45,-0.023,-16.53176,0.97246,592,9,,-0.406,-0.075
116,House,21705,61,5,AZ,200,,,"BIGGS, Andrew S.",B001302,1958,,0.883,-0.47,-83.7132,0.86772,590,27,,0.919,-0.395
116,House,21739,61,1,AZ,100,,,"O'HALLERAN, Thomas C.",O000171,1946,,-0.183,0.154,-32.92233,0.94635,597,12,,-0.338,0.47
116,House,21757,61,8,AZ,200,,,"LESKO, Debbie",L000589,1958,,0.605,-0.053,-89.53929,0.86137,600,41,,0.591,-0.014
116,House,21968,61,9,AZ,100,,,"STANTON, Greg",S001211,1970,,-0.299,-0.125,-14.83051,0.97563,601,5,,-0.321,-0.107
116,House,21106,42,1,AR,200,,,"CRAWFORD, Rick",C001087,1966,,0.408,0.493,-73.53189,0.87837,567,34,,0.5,0.54
116,House,21108,42,3,AR,200,,,"WOMACK, Steve",W000809,1957,,0.353,0.586,-54.63381,0.91338,603,22,,0.369,0.655
116,House,21503,42,2,AR,200,,,"HILL, French",H001072,1956,,0.453,0.225,-75.74585,0.88121,599,27,,0.412,0.365
116,House,21563,42,4,AR,200,,,"WESTERMAN, Bruce Eugene",W000821,1967,,0.548,0.36,-60.51262,0.90283,592,23,,0.542,0.552
116,House,15448,71,12,CA,100,,,"PELOSI, Nancy",P000197,1940,,-0.49,-0.206,-0.45701,0.98772,37,0,,-0.441,0.224
116,House,20104,71,28,CA,100,,,"SCHIFF, Adam",S001150,1960,,-0.349,-0.129,-10.19628,0.98318,601,2,,-0.447,-0.002
116,House,20108,71,53,CA,100,,,"DAVIS, Susan A.",D000598,1944,,-0.343,-0.107,-9.20723,0.98462,594,1,,-0.377,-0.086
116,House,20307,71,22,CA,200,,,"NUNES, Devin",N000181,1973,,0.449,0.212,-64.84753,0.89723,598,24,,0.456,0.405
116,House,20310,71,38,CA,100,,,"SÁNCHEZ, Linda T.",S001156,1969,,-0.508,-0.139,-11.15013,0.98109,584,5,,-0.503,-0.079
116,House,20501,71,16,CA,100,,,"COSTA, Jim",C001059,1952,,-0.191,0.47,-73.91238,0.88355,597,27,,-0.416,0.909
116,House,20538,71,6,CA,100,,,"MATSUI, Doris",M001163,1944,,-0.434,-0.164,-22.25046,0.96336,596,7,,-0.412,0.116
116,House,20702,71,9,CA,100,,,"McNERNEY, Jerry",M001166,1951,,-0.261,-0.149,-13.62506,0.97674,579,4,,-0.47,-0.061
116,House,20703,71,23,CA,200,,,"MCCARTHY, Kevin",M001165,1965,,0.459,0.21,-80.72431,0.87273,593,37,,0.424,0.376
